timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-01-24,0.00075590,0.00083760,0.00065890,0.00073820,14107635.77000000,1516838399999,10630.20858570,128640,7019551.12000000,5321.49059068,0
2018-01-25,0.00073820,0.00077600,0.00068930,0.00070060,5836902.73000000,1516924799999,4205.60023230,68383,2400266.85000000,1734.79321114,0
2018-01-26,0.00070040,0.00073280,0.00065300,0.00071380,4272578.99000000,1517011199999,2969.99482844,49118,1959700.60000000,1365.87768313,0
2018-01-27,0.00071370,0.00072180,0.00067890,0.00069600,2220716.68000000,1517097599999,1549.40180426,30383,1006046.16000000,702.86657944,0
2018-01-28,0.00069600,0.00083440,0.00068150,0.00080760,10549293.40000000,1517183999999,8108.52095709,113058,5523704.81000000,4268.46476815,0
2018-01-29,0.00080770,0.00085000,0.00077810,0.00084700,7180302.62000000,1517270399999,5811.39478473,92187,3527126.15000000,2865.75415422,0
2018-01-30,0.00084700,0.00091940,0.00079500,0.00082710,16095145.74000000,1517356799999,13808.22268683,174482,8147282.10000000,7009.64647020,0
2018-01-31,0.00082720,0.00088700,0.00071410,0.00075850,14286409.57000000,1517443199999,11171.61586866,154463,6831427.72000000,5358.88184607,0
2018-02-01,0.00075860,0.00076320,0.00062600,0.00066970,11663059.85000000,1517529599999,7880.60359365,118940,4834965.58000000,3261.61446795,0
2018-02-02,0.00066960,0.00066990,0.00047000,0.00060110,11828007.71000000,1517615999999,6993.73702991,96791,5285584.68000000,3123.44497224,0
2018-02-03,0.00060120,0.00063980,0.00056500,0.00058820,4611777.75000000,1517702399999,2775.39830826,54409,2062441.29000000,1242.12775024,0
2018-02-04,0.00058820,0.00059200,0.00050090,0.00051980,7122452.04000000,1517788799999,3870.94547083,75720,2967884.39000000,1613.29396619,0
2018-02-05,0.00051980,0.00052740,0.00037990,0.00044470,17701287.25000000,1517875199999,7909.88759146,109690,7563345.24000000,3377.78767538,0
2018-02-06,0.00044480,0.00061750,0.00039110,0.00056900,28853597.60000000,1517961599999,14487.31121906,188610,14457196.16000000,7326.68545608,0
2018-02-07,0.00056890,0.00059490,0.00049210,0.00050300,15180577.97000000,1518047999999,8270.12560859,126270,7336094.29000000,4005.38090051,0
2018-02-08,0.00050300,0.00052870,0.00049880,0.00051770,425602.48000000,1518134399999,219.17853812,2738,223227.72000000,114.93964255,0
2018-02-09,0.00051800,0.00055990,0.00051000,0.00051970,4806620.41000000,1518220799999,2527.05843550,49816,2306848.01000000,1213.88768190,0
2018-02-10,0.00051940,0.00053000,0.00045690,0.00047610,9359888.57000000,1518307199999,4646.87787509,82960,4365749.92000000,2168.33616163,0
2018-02-11,0.00047850,0.00050010,0.00043030,0.00047050,10349467.03000000,1518393599999,4817.81462617,89295,5022653.11000000,2336.93844279,0
2018-02-12,0.00047090,0.00051800,0.00046910,0.00047790,8510906.52000000,1518479999999,4177.39167879,89971,4065153.22000000,1996.98092233,0
2018-02-13,0.00047790,0.00048650,0.00045880,0.00046000,6145226.89000000,1518566399999,2887.64026870,53131,2483262.98000000,1168.55983574,0
2018-02-14,0.00045970,0.00049130,0.00044820,0.00046580,7318950.06000000,1518652799999,3422.70592360,68755,3466112.16000000,1621.37402079,0
2018-02-15,0.00046580,0.00048480,0.00044270,0.00047990,8444905.55000000,1518739199999,3916.01623153,80740,3858884.30000000,1791.64543394,0
2018-02-16,0.00048000,0.00048820,0.00046040,0.00047760,5907985.27000000,1518825599999,2793.45984479,56264,2700772.52000000,1279.07460272,0
2018-02-17,0.00047700,0.00053700,0.00046500,0.00048710,12981366.01000000,1518911999999,6510.71704619,115927,6282851.90000000,3156.56356595,0
2018-02-18,0.00048720,0.00048820,0.00044500,0.00045140,7163926.76000000,1518998399999,3307.54707220,66305,3080199.48000000,1422.33312682,0
2018-02-19,0.00045100,0.00045900,0.00042240,0.00043090,5117890.27000000,1519084799999,2244.81334807,49704,2197936.11000000,963.87503442,0
2018-02-20,0.00043060,0.00043110,0.00036060,0.00037060,8924211.87000000,1519171199999,3509.93400678,68728,3883560.09000000,1523.91982949,0
2018-02-21,0.00037120,0.00041930,0.00035520,0.00038320,8924407.12000000,1519257599999,3429.02139922,73991,4192219.03000000,1611.33989159,0
2018-02-22,0.00038320,0.00040500,0.00036800,0.00038080,6632992.17000000,1519343999999,2550.48158901,55346,2911811.72000000,1121.44416871,0
2018-02-23,0.00038080,0.00040700,0.00037540,0.00038840,4978334.08000000,1519430399999,1949.15683938,45144,2351991.78000000,919.98191496,0
2018-02-24,0.00038830,0.00039640,0.00037900,0.00039410,3096054.06000000,1519516799999,1194.75399927,27326,1456675.73000000,563.21429684,0
2018-02-25,0.00039410,0.00040700,0.00038800,0.00040460,3725783.28000000,1519603199999,1472.43202333,27240,1944282.41000000,769.12677672,0
2018-02-26,0.00040460,0.00044330,0.00038580,0.00038860,10232750.49000000,1519689599999,4256.37376899,67054,4764502.58000000,1986.90748083,0
2018-02-27,0.00038860,0.00039390,0.00036500,0.00037730,3967839.97000000,1519775999999,1497.24179531,30065,1713333.69000000,645.13620504,0
2018-02-28,0.00037750,0.00037830,0.00033330,0.00034300,5270358.90000000,1519862399999,1859.36689738,36189,2546750.26000000,898.15352141,0
2018-03-01,0.00034290,0.00035650,0.00033900,0.00034920,3500818.05000000,1519948799999,1216.47954868,28301,1494430.49000000,519.69004826,0
2018-03-02,0.00034920,0.00035300,0.00032800,0.00033630,3482335.63000000,1520035199999,1179.59189515,28499,1530738.82000000,518.23350171,0
2018-03-03,0.00033630,0.00034900,0.00031530,0.00031960,3090285.01000000,1520121599999,1016.63344441,24552,1323097.76000000,435.59262387,0
2018-03-04,0.00032000,0.00033750,0.00031500,0.00031670,3023683.20000000,1520207999999,979.80870530,24007,1328406.32000000,430.77263243,0
2018-03-05,0.00031650,0.00031960,0.00030380,0.00031060,3154736.61000000,1520294399999,984.75867435,21817,1430518.69000000,445.93562790,0
2018-03-06,0.00031060,0.00032760,0.00030050,0.00031860,6165428.26000000,1520380799999,1931.29299615,38594,2852346.47000000,895.22700959,0
2018-03-07,0.00031870,0.00032200,0.00026850,0.00030260,8184672.62000000,1520467199999,2437.78643516,47892,3601274.73000000,1074.55516276,0
2018-03-08,0.00030330,0.00030650,0.00027800,0.00027880,4701441.23000000,1520553599999,1368.72797755,28466,2160918.66000000,630.42914541,0
2018-03-09,0.00027950,0.00029360,0.00026000,0.00029200,5419507.33000000,1520639999999,1485.20235958,32079,2600362.77000000,715.65775324,0
